--- COOLDOWN SIMULATION ANALYSIS ---
Generated at: 2025-10-10 18:14:05
Total Entries: 10000
Mean Cooldown: 3.2153s
Range: [2.4001s, 197.2954s]
------------------------------
Cooldown: 2.544019 s
Cooldown: 2.876643 s
Cooldown: 3.131977 s
Cooldown: 2.665544 s
Cooldown: 3.363136 s
Cooldown: 3.023425 s
Cooldown: 2.604603 s
Cooldown: 3.254292 s
Cooldown: 2.846180 s
Cooldown: 2.937185 s
Cooldown: 3.464475 s
Cooldown: 3.022766 s
Cooldown: 3.129766 s
Cooldown: 3.223590 s
Cooldown: 3.198384 s
Cooldown: 3.215703 s
Cooldown: 3.339513 s
Cooldown: 3.293848 s
Cooldown: 3.185483 s
Cooldown: 3.271559 s
Cooldown: 3.137144 s
Cooldown: 2.693792 s
Cooldown: 3.179237 s
Cooldown: 3.243471 s
Cooldown: 3.045281 s
Cooldown: 3.136750 s
Cooldown: 2.600305 s
Cooldown: 2.905952 s
Cooldown: 3.330876 s
Cooldown: 3.581540 s
Cooldown: 3.092593 s
Cooldown: 3.166519 s
Cooldown: 3.055040 s
Cooldown: 2.948598 s
Cooldown: 3.247933 s
Cooldown: 3.326582 s
Cooldown: 2.903699 s
Cooldown: 2.891708 s
Cooldown: 3.269000 s
Cooldown: 3.003382 s
Cooldown: 2.982951 s
Cooldown: 3.150526 s
Cooldown: 3.050139 s
Cooldown: 3.052341 s
Cooldown: 3.492849 s
Cooldown: 2.812025 s
Cooldown: 2.733828 s
Cooldown: 2.932808 s
Cooldown: 2.960742 s
Cooldown: 2.627337 s
Cooldown: 2.812211 s
Cooldown: 2.990293 s
Cooldown: 2.421562 s
Cooldown: 2.412128 s
Cooldown: 2.797258 s
Cooldown: 3.030507 s
Cooldown: 3.052792 s
Cooldown: 2.640634 s
Cooldown: 3.030601 s
Cooldown: 3.148371 s
Cooldown: 2.706841 s
Cooldown: 2.835955 s
Cooldown: 2.787597 s
Cooldown: 2.742532 s
Cooldown: 2.832435 s
Cooldown: 2.827529 s
Cooldown: 3.037365 s
Cooldown: 2.428507 s
Cooldown: 2.598619 s
Cooldown: 2.575068 s
Cooldown: 2.865147 s
Cooldown: 2.493565 s
Cooldown: 2.662243 s
Cooldown: 2.923122 s
Cooldown: 2.888941 s
Cooldown: 2.739720 s
Cooldown: 3.023876 s
Cooldown: 3.384208 s
Cooldown: 3.293131 s
Cooldown: 3.449471 s
Cooldown: 3.058358 s
Cooldown: 3.211257 s
Cooldown: 3.143312 s
Cooldown: 3.754761 s
Cooldown: 3.629670 s
Cooldown: 3.224856 s
Cooldown: 3.410038 s
Cooldown: 3.583102 s
Cooldown: 3.647421 s
Cooldown: 2.962144 s
Cooldown: 3.176867 s
Cooldown: 3.270404 s
Cooldown: 3.284836 s
Cooldown: 3.243222 s
Cooldown: 3.366428 s
Cooldown: 2.975277 s
Cooldown: 3.152046 s
Cooldown: 3.494825 s
Cooldown: 3.268244 s
Cooldown: 3.534304 s
Cooldown: 2.783137 s
Cooldown: 3.521064 s
Cooldown: 3.193931 s
Cooldown: 2.719970 s
Cooldown: 2.809166 s
Cooldown: 2.971809 s
Cooldown: 3.315781 s
Cooldown: 3.213930 s
Cooldown: 2.876351 s
Cooldown: 3.025749 s
Cooldown: 2.977707 s
Cooldown: 3.398383 s
Cooldown: 2.879258 s
Cooldown: 2.791427 s
Cooldown: 2.753357 s
Cooldown: 2.495188 s
Cooldown: 2.752261 s
Cooldown: 2.939734 s
Cooldown: 17.808612 s
Cooldown: 3.009977 s
Cooldown: 3.118201 s
Cooldown: 3.415083 s
Cooldown: 2.565881 s
Cooldown: 2.799683 s
Cooldown: 3.169588 s
Cooldown: 2.930828 s
Cooldown: 3.296972 s
Cooldown: 3.676310 s
Cooldown: 3.166677 s
Cooldown: 3.048743 s
Cooldown: 3.281331 s
Cooldown: 2.802877 s
Cooldown: 2.873885 s
Cooldown: 2.888424 s
Cooldown: 3.059470 s
Cooldown: 3.733337 s
Cooldown: 3.859556 s
Cooldown: 3.171728 s
Cooldown: 3.430138 s
Cooldown: 3.626403 s
Cooldown: 3.480787 s
Cooldown: 3.423628 s
Cooldown: 3.181610 s
Cooldown: 3.164100 s
Cooldown: 3.364667 s
Cooldown: 3.155830 s
Cooldown: 3.807469 s
Cooldown: 3.298307 s
Cooldown: 3.023804 s
Cooldown: 3.349155 s
Cooldown: 2.869904 s
Cooldown: 2.733665 s
Cooldown: 2.895510 s
Cooldown: 2.749049 s
Cooldown: 2.746477 s
Cooldown: 2.766027 s
Cooldown: 2.736186 s
Cooldown: 2.866649 s
Cooldown: 2.779338 s
Cooldown: 3.019120 s
Cooldown: 2.800444 s
Cooldown: 2.619071 s
Cooldown: 2.821200 s
Cooldown: 2.539007 s
Cooldown: 2.642740 s
Cooldown: 2.547620 s
Cooldown: 2.510666 s
Cooldown: 2.953430 s
Cooldown: 2.752375 s
Cooldown: 2.620489 s
Cooldown: 2.856553 s
Cooldown: 3.062673 s
Cooldown: 2.767199 s
Cooldown: 2.742414 s
Cooldown: 2.662400 s
Cooldown: 2.581391 s
Cooldown: 2.706926 s
Cooldown: 2.566950 s
Cooldown: 2.894364 s
Cooldown: 2.835090 s
Cooldown: 2.418317 s
Cooldown: 2.433551 s
Cooldown: 2.652293 s
Cooldown: 2.669684 s
Cooldown: 2.764665 s
Cooldown: 2.694113 s
Cooldown: 2.914773 s
Cooldown: 2.862863 s
Cooldown: 2.671409 s
Cooldown: 3.503276 s
Cooldown: 2.625597 s
Cooldown: 2.787645 s
Cooldown: 2.596827 s
Cooldown: 2.750367 s
Cooldown: 3.377508 s
Cooldown: 2.871983 s
Cooldown: 2.823103 s
Cooldown: 2.990433 s
Cooldown: 3.247188 s
Cooldown: 3.155556 s
Cooldown: 2.807719 s
Cooldown: 2.986269 s
Cooldown: 2.532559 s
Cooldown: 3.304096 s
Cooldown: 3.151818 s
Cooldown: 3.099992 s
Cooldown: 2.916546 s
Cooldown: 2.981067 s
Cooldown: 2.979725 s
Cooldown: 2.975424 s
Cooldown: 3.130970 s
Cooldown: 2.521685 s
Cooldown: 2.982424 s
Cooldown: 2.854675 s
Cooldown: 2.943407 s
Cooldown: 3.212042 s
Cooldown: 3.175249 s
Cooldown: 3.168074 s
Cooldown: 3.000186 s
Cooldown: 3.153552 s
Cooldown: 3.412538 s
Cooldown: 3.381158 s
Cooldown: 3.557069 s
Cooldown: 3.027633 s
Cooldown: 2.834810 s
Cooldown: 3.002126 s
Cooldown: 3.126603 s
Cooldown: 3.003755 s
Cooldown: 3.173320 s
Cooldown: 3.502373 s
Cooldown: 2.991869 s
Cooldown: 3.074571 s
Cooldown: 3.061428 s
Cooldown: 2.853686 s
Cooldown: 3.036043 s
Cooldown: 3.314441 s
Cooldown: 2.996391 s
Cooldown: 3.466559 s
Cooldown: 2.845922 s
Cooldown: 3.288365 s
Cooldown: 3.009482 s
Cooldown: 3.317283 s
Cooldown: 2.937001 s
Cooldown: 3.168503 s
Cooldown: 3.338402 s
Cooldown: 2.850426 s
Cooldown: 3.290650 s
Cooldown: 2.635960 s
Cooldown: 3.152789 s
Cooldown: 3.181454 s
Cooldown: 3.081636 s
Cooldown: 3.146895 s
Cooldown: 2.924633 s
Cooldown: 3.010495 s
Cooldown: 2.995556 s
Cooldown: 3.156790 s
Cooldown: 2.985543 s
Cooldown: 2.811376 s
Cooldown: 3.194124 s
Cooldown: 2.961270 s
Cooldown: 2.992538 s
Cooldown: 2.773435 s
Cooldown: 2.900150 s
Cooldown: 2.916709 s
Cooldown: 2.863887 s
Cooldown: 2.646532 s
Cooldown: 2.442640 s
Cooldown: 2.888691 s
Cooldown: 2.936103 s
Cooldown: 2.860946 s
Cooldown: 3.345025 s
Cooldown: 2.801021 s
Cooldown: 2.851176 s
Cooldown: 2.975578 s
Cooldown: 3.079427 s
Cooldown: 3.221173 s
Cooldown: 3.533870 s
Cooldown: 3.165922 s
Cooldown: 3.630871 s
Cooldown: 2.627690 s
Cooldown: 3.112299 s
Cooldown: 2.820102 s
Cooldown: 3.095650 s
Cooldown: 3.287676 s
Cooldown: 3.643129 s
Cooldown: 3.227254 s
Cooldown: 2.960560 s
Cooldown: 2.866725 s
Cooldown: 2.872145 s
Cooldown: 3.438295 s
Cooldown: 3.094865 s
Cooldown: 3.134251 s
Cooldown: 3.131992 s
Cooldown: 3.319577 s
Cooldown: 3.196408 s
Cooldown: 2.920683 s
Cooldown: 3.082225 s
Cooldown: 3.452236 s
Cooldown: 3.457182 s
Cooldown: 3.242199 s
Cooldown: 3.240260 s
Cooldown: 3.250930 s
Cooldown: 2.517792 s
Cooldown: 2.758840 s
Cooldown: 3.003696 s
Cooldown: 2.736291 s
Cooldown: 3.207577 s
Cooldown: 2.833769 s
Cooldown: 3.057944 s
Cooldown: 3.291590 s
Cooldown: 2.940489 s
Cooldown: 2.983130 s
Cooldown: 2.854386 s
Cooldown: 2.669827 s
Cooldown: 2.774051 s
Cooldown: 2.874014 s
Cooldown: 2.651775 s
Cooldown: 2.723321 s
Cooldown: 3.002851 s
Cooldown: 2.786591 s
Cooldown: 2.826678 s
Cooldown: 3.152064 s
Cooldown: 3.489634 s
Cooldown: 3.275692 s
Cooldown: 2.600249 s
Cooldown: 2.931223 s
Cooldown: 2.785573 s
Cooldown: 2.749229 s
Cooldown: 2.585203 s
Cooldown: 2.613431 s
Cooldown: 2.793028 s
Cooldown: 2.607048 s
Cooldown: 3.119973 s
Cooldown: 2.437059 s
Cooldown: 2.976186 s
Cooldown: 3.391425 s
Cooldown: 3.154697 s
Cooldown: 3.312970 s
Cooldown: 2.891913 s
Cooldown: 2.959236 s
Cooldown: 2.865254 s
Cooldown: 2.929080 s
Cooldown: 3.062574 s
Cooldown: 3.125101 s
Cooldown: 3.136154 s
Cooldown: 3.055870 s
Cooldown: 3.168700 s
Cooldown: 3.116015 s
Cooldown: 3.006455 s
Cooldown: 3.245940 s
Cooldown: 3.149798 s
Cooldown: 3.087201 s
Cooldown: 2.700236 s
Cooldown: 3.323133 s
Cooldown: 3.494454 s
Cooldown: 2.906814 s
Cooldown: 2.957826 s
Cooldown: 2.884926 s
Cooldown: 2.915626 s
Cooldown: 3.189180 s
Cooldown: 3.175985 s
Cooldown: 3.189386 s
Cooldown: 2.962755 s
Cooldown: 2.730838 s
Cooldown: 2.836818 s
Cooldown: 2.968954 s
Cooldown: 2.723793 s
Cooldown: 3.220693 s
Cooldown: 2.815103 s
Cooldown: 3.198164 s
Cooldown: 3.003334 s
Cooldown: 2.995052 s
Cooldown: 3.001965 s
Cooldown: 2.891941 s
Cooldown: 3.426431 s
Cooldown: 3.041735 s
Cooldown: 3.238790 s
Cooldown: 2.860382 s
Cooldown: 3.114772 s
Cooldown: 2.826215 s
Cooldown: 2.886790 s
Cooldown: 2.905614 s
Cooldown: 3.121075 s
Cooldown: 2.771252 s
Cooldown: 2.802299 s
Cooldown: 2.726793 s
Cooldown: 3.129117 s
Cooldown: 2.418657 s
Cooldown: 3.326260 s
Cooldown: 2.681662 s
Cooldown: 2.807236 s
Cooldown: 2.614773 s
Cooldown: 3.196114 s
Cooldown: 2.979131 s
Cooldown: 2.666297 s
Cooldown: 2.630255 s
Cooldown: 2.763087 s
Cooldown: 2.951382 s
Cooldown: 2.875270 s
Cooldown: 2.613654 s
Cooldown: 3.333340 s
Cooldown: 2.908865 s
Cooldown: 2.864606 s
Cooldown: 2.924602 s
Cooldown: 2.454784 s
Cooldown: 3.141150 s
Cooldown: 2.619894 s
Cooldown: 3.111138 s
Cooldown: 3.173513 s
Cooldown: 3.007123 s
Cooldown: 3.217128 s
Cooldown: 11.769901 s
Cooldown: 3.272537 s
Cooldown: 3.108643 s
Cooldown: 3.512327 s
Cooldown: 3.565730 s
Cooldown: 3.164729 s
Cooldown: 3.484000 s
Cooldown: 3.082179 s
Cooldown: 3.542209 s
Cooldown: 3.427193 s
Cooldown: 3.461966 s
Cooldown: 3.261014 s
Cooldown: 3.494144 s
Cooldown: 3.536038 s
Cooldown: 3.146394 s
Cooldown: 3.402299 s
Cooldown: 3.356603 s
Cooldown: 3.478903 s
Cooldown: 3.342847 s
Cooldown: 3.381825 s
Cooldown: 3.355485 s
Cooldown: 3.056682 s
Cooldown: 3.290123 s
