--- COOLDOWN SIMULATION ANALYSIS ---
Generated at: 2025-10-10 18:16:37
Total Entries: 10000
Mean Cooldown: 3.1120s
Range: [2.4000s, 208.5719s]
------------------------------
Cooldown: 2.886769 s
Cooldown: 3.326516 s
Cooldown: 3.353897 s
Cooldown: 7.765139 s
Cooldown: 3.675378 s
Cooldown: 3.112489 s
Cooldown: 3.348042 s
Cooldown: 3.253576 s
Cooldown: 3.301482 s
Cooldown: 3.117956 s
Cooldown: 3.419949 s
Cooldown: 3.123636 s
Cooldown: 3.230750 s
Cooldown: 3.411665 s
Cooldown: 3.568652 s
Cooldown: 3.347735 s
Cooldown: 2.979153 s
Cooldown: 3.262770 s
Cooldown: 3.047203 s
Cooldown: 3.010340 s
Cooldown: 3.488318 s
Cooldown: 3.180939 s
Cooldown: 3.568371 s
Cooldown: 3.162129 s
Cooldown: 3.465146 s
Cooldown: 2.978831 s
Cooldown: 3.006332 s
Cooldown: 3.243732 s
Cooldown: 3.038699 s
Cooldown: 3.181204 s
Cooldown: 2.628145 s
Cooldown: 2.812024 s
Cooldown: 2.796869 s
Cooldown: 3.049609 s
Cooldown: 2.806213 s
Cooldown: 2.993920 s
Cooldown: 3.393667 s
Cooldown: 2.983291 s
Cooldown: 2.854033 s
Cooldown: 2.567991 s
Cooldown: 2.834638 s
Cooldown: 2.778853 s
Cooldown: 2.862054 s
Cooldown: 3.141674 s
Cooldown: 3.376203 s
Cooldown: 2.816787 s
Cooldown: 2.961954 s
Cooldown: 2.878148 s
Cooldown: 3.289287 s
Cooldown: 2.972505 s
Cooldown: 2.941258 s
Cooldown: 3.248402 s
Cooldown: 3.030507 s
Cooldown: 3.180865 s
Cooldown: 2.874618 s
Cooldown: 2.972965 s
Cooldown: 2.925693 s
Cooldown: 3.291406 s
Cooldown: 2.979875 s
Cooldown: 2.873970 s
Cooldown: 2.702764 s
Cooldown: 3.315056 s
Cooldown: 3.318535 s
Cooldown: 3.068571 s
Cooldown: 3.376325 s
Cooldown: 3.081563 s
Cooldown: 3.572117 s
Cooldown: 3.344104 s
Cooldown: 3.252361 s
Cooldown: 3.142249 s
Cooldown: 3.122179 s
Cooldown: 2.978624 s
Cooldown: 3.162536 s
Cooldown: 3.158897 s
Cooldown: 3.295868 s
Cooldown: 2.880770 s
Cooldown: 3.360607 s
Cooldown: 3.207095 s
Cooldown: 3.089871 s
Cooldown: 3.019444 s
Cooldown: 3.054534 s
Cooldown: 3.037964 s
Cooldown: 2.836111 s
Cooldown: 2.831661 s
Cooldown: 2.875443 s
Cooldown: 3.247289 s
Cooldown: 2.964532 s
Cooldown: 3.250072 s
Cooldown: 2.751208 s
Cooldown: 3.017275 s
Cooldown: 4.448932 s
Cooldown: 3.444236 s
Cooldown: 2.840703 s
Cooldown: 3.193147 s
Cooldown: 2.664646 s
Cooldown: 2.824165 s
Cooldown: 2.955797 s
Cooldown: 17.953697 s
Cooldown: 2.926936 s
Cooldown: 3.468768 s
Cooldown: 2.861845 s
Cooldown: 3.191657 s
Cooldown: 3.452633 s
Cooldown: 2.410468 s
Cooldown: 3.132168 s
Cooldown: 2.959437 s
Cooldown: 2.872320 s
Cooldown: 3.132258 s
Cooldown: 3.245261 s
Cooldown: 2.942575 s
Cooldown: 3.116713 s
Cooldown: 3.103631 s
Cooldown: 2.728086 s
Cooldown: 2.903215 s
Cooldown: 2.850882 s
Cooldown: 2.925227 s
Cooldown: 3.178187 s
Cooldown: 3.055402 s
Cooldown: 2.917059 s
Cooldown: 3.030572 s
Cooldown: 2.968333 s
Cooldown: 2.898759 s
Cooldown: 3.016139 s
Cooldown: 2.923635 s
Cooldown: 3.048621 s
Cooldown: 2.844585 s
Cooldown: 2.909786 s
Cooldown: 2.888297 s
Cooldown: 3.229536 s
Cooldown: 2.822102 s
Cooldown: 2.980166 s
Cooldown: 2.872703 s
Cooldown: 2.690822 s
Cooldown: 2.995285 s
Cooldown: 2.865290 s
Cooldown: 3.086961 s
Cooldown: 3.059557 s
Cooldown: 3.342824 s
Cooldown: 3.104857 s
Cooldown: 3.520693 s
Cooldown: 3.111859 s
Cooldown: 3.232057 s
Cooldown: 3.221869 s
Cooldown: 2.987228 s
Cooldown: 3.341273 s
Cooldown: 3.478579 s
Cooldown: 2.820719 s
Cooldown: 3.142487 s
Cooldown: 3.160922 s
Cooldown: 3.689269 s
Cooldown: 3.040024 s
Cooldown: 3.233113 s
Cooldown: 3.295884 s
Cooldown: 3.014630 s
Cooldown: 3.404877 s
Cooldown: 3.554874 s
Cooldown: 3.399952 s
Cooldown: 3.514256 s
Cooldown: 3.555197 s
Cooldown: 3.591686 s
Cooldown: 3.466335 s
Cooldown: 3.429376 s
Cooldown: 3.230811 s
Cooldown: 3.267216 s
Cooldown: 3.477035 s
Cooldown: 3.378795 s
Cooldown: 3.360464 s
Cooldown: 3.312891 s
Cooldown: 3.204928 s
Cooldown: 3.725963 s
Cooldown: 3.276974 s
Cooldown: 3.089793 s
Cooldown: 3.341226 s
Cooldown: 3.298592 s
Cooldown: 3.103626 s
Cooldown: 3.129327 s
Cooldown: 3.038867 s
Cooldown: 3.208322 s
Cooldown: 3.736785 s
Cooldown: 3.056383 s
Cooldown: 2.825545 s
Cooldown: 2.655912 s
Cooldown: 2.530445 s
Cooldown: 2.845245 s
Cooldown: 2.785811 s
Cooldown: 3.204401 s
Cooldown: 3.081887 s
Cooldown: 2.752620 s
Cooldown: 2.914919 s
Cooldown: 2.830164 s
Cooldown: 2.971502 s
Cooldown: 3.489394 s
Cooldown: 2.784320 s
Cooldown: 3.120643 s
Cooldown: 3.175907 s
Cooldown: 2.897231 s
Cooldown: 3.496547 s
Cooldown: 3.473288 s
Cooldown: 3.450893 s
Cooldown: 3.126897 s
Cooldown: 3.474563 s
Cooldown: 3.471631 s
Cooldown: 3.472379 s
Cooldown: 3.635417 s
Cooldown: 3.235222 s
Cooldown: 3.506959 s
Cooldown: 3.421982 s
Cooldown: 3.291898 s
Cooldown: 3.070882 s
Cooldown: 3.144268 s
Cooldown: 2.999636 s
Cooldown: 2.990354 s
Cooldown: 2.985428 s
Cooldown: 2.871225 s
Cooldown: 2.985453 s
Cooldown: 3.038357 s
Cooldown: 3.229961 s
Cooldown: 3.303448 s
Cooldown: 3.118400 s
Cooldown: 2.827446 s
Cooldown: 2.971149 s
Cooldown: 2.821790 s
Cooldown: 3.026482 s
Cooldown: 2.817799 s
Cooldown: 3.118675 s
Cooldown: 2.827434 s
Cooldown: 3.279945 s
Cooldown: 3.231547 s
Cooldown: 3.206990 s
Cooldown: 2.918017 s
Cooldown: 2.911293 s
Cooldown: 2.975190 s
Cooldown: 2.727569 s
Cooldown: 2.918521 s
Cooldown: 3.069314 s
Cooldown: 3.041298 s
Cooldown: 2.868532 s
Cooldown: 2.950769 s
Cooldown: 2.895980 s
Cooldown: 2.807038 s
Cooldown: 3.070549 s
Cooldown: 2.803509 s
Cooldown: 2.824813 s
Cooldown: 3.078631 s
Cooldown: 3.062891 s
Cooldown: 3.420880 s
Cooldown: 3.092480 s
Cooldown: 3.422151 s
Cooldown: 3.202650 s
Cooldown: 2.806254 s
Cooldown: 3.462820 s
Cooldown: 3.148214 s
Cooldown: 3.409987 s
Cooldown: 3.046234 s
Cooldown: 3.052094 s
Cooldown: 2.982844 s
Cooldown: 2.889308 s
Cooldown: 3.143717 s
Cooldown: 3.084679 s
Cooldown: 3.210803 s
Cooldown: 3.013706 s
Cooldown: 3.206901 s
Cooldown: 3.228739 s
Cooldown: 3.038019 s
Cooldown: 3.386336 s
Cooldown: 2.750957 s
Cooldown: 3.388808 s
Cooldown: 2.988638 s
Cooldown: 3.013255 s
Cooldown: 3.297140 s
Cooldown: 3.761274 s
